dataset,query_id,objective_count,method,epsilon,status,certified,paths,reference_kind,reference_size,reference_configurations,empirical_epsilon,load_seconds,preprocess_seconds,search_seconds,total_seconds,peak_rss_mb,expanded,labels,merged,file
BAY,0015,3,apex_open_merge,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.730960006,1.00641251,0.010640527,1.751120329,69,689,689,187,BAY_0015_m3_e0.2_e31abc05fb9eaa10.json
BAY,0015,5,apex_open_merge,0.2,epsilon_cover,True,12,unavailable_single_config,12,1,,0.74893235,1.130463305,0.132141843,2.016895243,87,126269,126269,44877,BAY_0015_m5_e0.2_ad347e3df05c3e33.json
BAY,0016,2,NAMOA_dr_goal_epsilon,0.0,exact,True,98,exact,98,2,0.0,0.729942586,0.300992168,0.017268104,1.049673314,81,31106,35770,0,BAY_0016_m2_e0.0_0a6ab671d2d5666c.json
BAY,0016,2,apex_open_merge,0.2,epsilon_cover,True,2,exact,98,2,0.015848079550147665,0.652210293,0.297377373,0.009474423,0.961961127,69,0,1,0,BAY_0016_m2_e0.2_32861bd59e8d692e.json
BAY,0016,3,apex_open_merge,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.733982862,0.401232749,0.015756533,1.153962008,69,11021,11288,2446,BAY_0016_m3_e0.2_1b6457e36cbd504b.json
BAY,0016,5,apex_open_merge,0.2,epsilon_cover,True,14,unavailable_single_config,14,1,,0.612860419,0.497632195,0.018345238,1.132252553,69,17245,17567,4385,BAY_0016_m5_e0.2_4bc0224a01de9eb8.json
BAY,0017,2,NAMOA_dr_goal_epsilon,0.0,exact,True,41,exact,41,2,0.0,0.607522271,0.724412835,0.015095179,1.34864675,82,30377,36220,0,BAY_0017_m2_e0.0_b40e8cbb6b113d27.json
BAY,0017,2,apex_open_merge,0.2,epsilon_cover,True,6,exact,41,2,0.020642479898962174,0.738665017,0.793093368,0.009893773,1.543970287,69,0,1,0,BAY_0017_m2_e0.2_d0e0ecc7bc70bbf9.json
BAY,0017,3,apex_open_merge,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.735426646,0.750458817,0.009947193,1.498131537,69,0,1,0,BAY_0017_m3_e0.2_35a073e773bedb1d.json
BAY,0017,5,apex_open_merge,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.610294222,0.797901386,0.013596793,1.424811994,69,7718,7718,1976,BAY_0017_m5_e0.2_899dd17382812abc.json
BAY,0018,2,NAMOA_dr_goal_epsilon,0.0,exact,True,306,exact,306,2,0.0,0.753779643,0.619081154,0.553169116,1.930673983,136,547398,612662,0,BAY_0018_m2_e0.0_5d33ecb6c37205a8.json
BAY,0018,2,apex_open_merge,0.2,epsilon_cover,True,4,exact,306,2,0.12574934567074392,0.637238128,0.539495446,0.014052239,1.194246295,68,5920,5920,2536,BAY_0018_m2_e0.2_c4c323dd0eed908e.json
BAY,0018,3,apex_open_merge,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.632689217,0.633197161,0.036122949,1.306743466,72,49256,49256,17739,BAY_0018_m3_e0.2_582a335aabad863f.json
