dataset,query_id,scheme,original_feasible,disrupted_feasible,original_path_blocked,surviving_candidates,path_changed,original_scalar,original_optimal_scalar,disrupted_optimal_scalar,surviving_best_scalar,original_score,original_optimal_score,disrupted_score,original_candidate_gap,intrinsic_closure_relative_loss,recommendation_relative_change,gain_over_surviving_candidate,scalar_seconds,reference_seconds,replan_seconds,expanded,original_c1,disrupted_c1,delta_c1,relative_c1,original_c2,disrupted_c2,delta_c2,relative_c2,original_c3,disrupted_c3,delta_c3,relative_c3,original_c4,disrupted_c4,delta_c4,relative_c4,original_c5,disrupted_c5,delta_c5,relative_c5
BAY,0010,balanced,True,True,True,1,True,6801305848868147939780,6779396449287435891160,7144287554260006931560,9147902407543022394720,0.1169574238809459,0.11272756022131926,0.18317401946629344,0.003231762553584676,0.05382353837868912,0.05042880191146483,0.28044991723328616,0.038510785,0.079135959,0.0024886,5020,1046405,1083451,37046,0.03540311829549744,1316376,1596877,280501,0.21308577488498726,1350,1470,120,0.08888888888888889,2523,2627,104,0.04122076892588189,459,468,9,0.0196078431372549
BAY,0010,time_shortest,True,True,True,1,True,2693809921382730009600,2693809921382730009600,3021380639451649384000,7728849977798458308800,0.0,0.0,0.06324132577039306,0.0,0.12160127389417945,0.12160127389417945,1.5580523939549595,0.038339756,0.088885945,0.005002619,12993,1043932,1060628,16696,0.01599337887908408,1154256,1294615,140359,0.12160127389417945,1496,1578,82,0.05481283422459893,2749,3079,330,0.12004365223717715,497,545,48,0.096579476861167
BAY,0011,time_priority,True,True,True,34,True,6253432485807451417670,6253432485807451417670,6709580448769693484610,7098839254355640646660,0.1295617906947057,0.1295617906947057,0.1907823121397678,0.0,0.07294361360700669,0.07294361360700669,0.05801537198310572,0.042783084,0.074832782,0.005297076,3361,853019,851605,-1414,-0.0016576418579187567,1182559,1330997,148438,0.12552270119292144,1043,1017,-26,-0.024928092042186004,1714,1820,106,0.061843640606767794,337,347,10,0.02967359050445104
BAY,0011,stable_priority,True,True,True,34,True,6013355551773525047215,6013355551773525047215,6015016189844277087925,6090418773949371768370,0.19397066134714258,0.19397066134714258,0.19419353887127477,0.0,0.00027615830403746326,0.00027615830403746326,0.01253572421507427,0.038261554,0.074124025,0.001019014,283,892380,870787,-21593,-0.02419709092539053,1718462,1927880,209418,0.12186361991129277,963,913,-50,-0.05192107995846314,1432,1416,-16,-0.0111731843575419,263,253,-10,-0.03802281368821293
BAY,0011,balanced,True,True,False,34,True,7077382564236654242140,6994676160392743862000,6994676160392743862000,7077382564236654242140,0.21083177418075696,0.19973158393264398,0.19973158393264398,0.01182419342188195,0.0,-0.011686015711774774,0.01182419342188195,0.038233405,0.070253827,0.000922805,213,839172,798756,-40416,-0.04816175944859934,2021534,1955920,-65614,-0.0324575297768922,1833,1815,-18,-0.009819967266775777,1074,1122,48,0.0446927374301676,205,212,7,0.03414634146341464
BAY,0011,time_shortest,True,True,True,34,True,5069664997038798195200,5069664997038798195200,5653622683354356147200,5992645241747489344000,0.0,0.0,0.07837411752521561,0.0,0.11518664185042776,0.11518664185042776,0.05996554375503308,0.037933507,0.080650259,0.002071025,4420,853019,858765,5746,0.0067360750463940425,1182559,1318774,136215,0.11518664185042776,1043,1013,-30,-0.028763183125599234,1714,1898,184,0.1073512252042007,337,360,23,0.06824925816023739
BAY,0012,time_priority,True,True,True,3,True,599444513372515726051840,596611813156887214048440,640949004789331445806460,852020676859185857529060,0.17935256449594356,0.17489650655981934,0.24464236019769792,0.004747978757979462,0.07431497441835797,0.06923825390161405,0.32931117841306257,0.042533539,0.071617691,0.008637653,17548,2317678,2346560,28882,0.012461610284086055,2406857,2908093,501236,0.20825333619737277,2964,3254,290,0.09784075573549257,4091,4039,-52,-0.012710828648252261,819,803,-16,-0.019536019536019536
BAY,0012,stable_priority,True,True,True,3,True,712938278413507498712150,697871693201636085698300,705634526947246493352700,736659947014269088219150,0.25882042470343936,0.23511951338453546,0.24733105512414202,0.0215893341980246,0.011123583061517716,-0.010244577528525962,0.04396811505418593,0.038032864,0.067760776,0.001130273,1101,2310188,2442342,132154,0.05720486817523076,3905073,5740322,1835249,0.46996535019959934,2616,2802,186,0.07110091743119266,3463,2959,-504,-0.1455385503898354,660,532,-128,-0.19393939393939394
BAY,0012,balanced,True,True,True,3,True,834210266203336446087640,822643423309602586434240,830062607262416579672680,879297334068934824362120,0.2771098905159807,0.2589143462829004,0.2705853001487922,0.014060579062552923,0.009018711804642698,-0.004971958640351815,0.0593144738429991,0.037865121,0.066257386,0.001094753,976,2310188,2288185,-22003,-0.009524333084580129,3905073,4724189,819116,0.20975689827053168,2616,3054,438,0.16743119266055045,3463,3191,-272,-0.07854461449610164,660,589,-71,-0.10757575757575757
BAY,0012,time_shortest,True,True,True,3,True,312808957020694069628000,312808957020694069628000,354306428852492994262000,824744019649436890696000,0.0,0.0,0.06527875334811956,0.0,0.13266075315437223,0.13266075315437223,1.3277704057489719,0.037768089,0.072209167,0.008762826,29256,2308060,2461872,153812,0.06664124849440656,2382566,2698639,316073,0.13266075315437223,3096,3704,608,0.19638242894056848,4105,5555,1450,0.35322777101096225,823,1091,268,0.32563791008505466
