dataset,query_id,objective_count,before_status,after_status,before_paths,after_paths,before_search_seconds,after_search_seconds,before_total_seconds,after_total_seconds,before_peak_rss_mb,after_peak_rss_mb,before_labels,after_labels,merged,before_order,after_order,reference_kind,before_empirical_epsilon,after_empirical_epsilon
COL,0004,3,epsilon_cover,epsilon_cover,8,8,0.007523441,0.011803412,1.682120698,1.614632563,89,89,1,1,0,21345,21345,pooled_empirical,0.0,0.0
COL,0004,5,epsilon_cover,epsilon_cover,11,11,0.009798104,0.015731401,1.781447645,2.024039957,89,89,5441,1312,192,21345,21345,pooled_empirical,0.0,0.0
COL,0005,2,epsilon_cover,epsilon_cover,7,7,0.00873357,0.013435543,1.608777257,1.380232813,89,89,1,1,0,21345,21345,exact,0.03310761458944245,0.03310761458944245
COL,0005,3,epsilon_cover,epsilon_cover,11,11,0.011137441,0.012578397,2.18550858,1.846194969,89,89,1,1,0,21345,21345,pooled_empirical,0.0,0.0
COL,0005,5,epsilon_cover,epsilon_cover,10,10,5.25269484,0.030435211,6.997795138,2.121955813,211,89,1910891,31570,8261,21345,21345,pooled_empirical,0.0,0.0
COL,0006,2,epsilon_cover,epsilon_cover,4,4,0.009069275,0.013616453,1.645936302,1.665729798,89,89,1,1,0,21345,21345,exact,0.00040775572535922677,0.00040775572535922677
COL,0006,3,epsilon_cover,epsilon_cover,10,10,0.010106088,0.013444037,1.75988317,1.53868489,89,89,1,1,0,21345,21345,pooled_empirical,0.0,0.0
COL,0006,5,epsilon_cover,epsilon_cover,8,8,0.008376211,0.015438993,1.958448728,1.757282301,89,89,1,1,0,21345,21345,pooled_empirical,0.0,0.0
COL,0007,2,epsilon_cover,epsilon_cover,6,6,0.008240953,0.013689935,1.931758918,2.377246342,89,89,1,1,0,21345,21345,exact,0.019059742964526727,0.019059742964526727
COL,0007,3,epsilon_cover,epsilon_cover,10,10,0.007491843,0.011792357,1.886680014,2.157139662,89,89,1,1,0,21345,21345,pooled_empirical,0.0,0.0
COL,0007,5,time_limit,epsilon_cover,12,12,30.01402384,0.122692019,32.3305594,2.299373931,323,117,3742396,140064,66938,21345,21345,pooled_empirical,0.0,0.0
COL,0008,2,epsilon_cover,epsilon_cover,6,6,0.010466486,0.015565972,1.764971247,1.389081946,89,89,1,1,0,21345,21345,exact,0.019453534366623115,0.019453534366623115
COL,0008,3,epsilon_cover,epsilon_cover,9,9,0.01056903,0.014469857,2.051507622,1.599230848,89,89,1,1,0,21345,21345,pooled_empirical,0.0,0.0
COL,0008,5,time_limit,epsilon_cover,11,11,30.00617787,0.073816104,31.8560905,1.802742117,323,99,3770912,104544,31990,21345,21345,pooled_empirical,0.0,0.0
COL,0009,2,epsilon_cover,epsilon_cover,2,2,0.010737476,0.013573293,1.310194602,1.302968566,89,89,1,1,0,21345,21345,exact,0.0007389542342950417,0.0007389542342950417
COL,0009,3,epsilon_cover,epsilon_cover,4,4,0.007502862,0.013473112,1.225000063,1.433182799,89,89,1,1,0,21345,21345,pooled_empirical,0.0,0.0
COL,0009,5,epsilon_cover,epsilon_cover,6,6,0.004407522,0.014845177,1.468509543,1.786047681,89,89,1,1,0,21345,21345,pooled_empirical,0.0,0.0
COL,0010,2,epsilon_cover,epsilon_cover,6,6,0.009052681,0.014102869,1.588143515,1.384799188,89,89,1,1,0,21345,21345,exact,0.010465982669671137,0.010465982669671137
COL,0010,3,epsilon_cover,epsilon_cover,10,10,0.007633237,0.011806801,1.786593194,1.595484207,89,89,985,671,116,21345,21345,pooled_empirical,0.0,0.0
COL,0010,5,time_limit,epsilon_cover,10,14,30.00320662,0.351456347,32.10655744,2.455292751,547,158,6269594,357610,117608,21345,21345,pooled_empirical,0.17481709664998069,0.0
COL,0011,2,epsilon_cover,epsilon_cover,6,6,0.009639123,0.012530199,2.276645585,1.808393796,89,89,1,1,0,21345,21345,exact,0.008290958717542152,0.008290958717542152
COL,0011,3,epsilon_cover,epsilon_cover,8,8,0.008551664,0.011881734,2.125660148,1.851918098,89,89,1,1,0,21345,21345,pooled_empirical,0.0,0.0
COL,0011,5,time_limit,epsilon_cover,10,10,30.01383846,0.492368903,32.6573674,2.856958974,323,158,3892459,334713,181165,21345,21345,pooled_empirical,0.0,0.0
COL,0012,2,epsilon_cover,epsilon_cover,8,8,0.008562361,0.014535394,1.862717443,1.885168021,89,89,1,1,0,21345,21345,exact,0.031725289164808324,0.031725289164808324
COL,0012,3,epsilon_cover,epsilon_cover,11,11,0.03054473,0.014298383,2.605262712,2.264342,89,89,60511,9442,1634,21345,21345,pooled_empirical,0.0,0.0
COL,0012,5,time_limit,epsilon_cover,12,19,30.00297273,6.019534175,32.4037206,8.446813041,549,575,5125851,2867310,943202,21345,21345,pooled_empirical,0.13748932536293768,0.0
COL,0013,2,epsilon_cover,epsilon_cover,5,5,0.007736168,0.011305374,1.551002273,1.48249451,89,89,1,1,0,21345,21345,exact,0.002998522270397652,0.002998522270397652
COL,0013,3,epsilon_cover,epsilon_cover,10,10,0.367318475,0.021300168,2.075957823,1.812387206,123,89,451447,20376,6667,21345,21345,pooled_empirical,0.0,0.0
COL,0013,5,time_limit,epsilon_cover,11,12,30.00479588,0.126135695,32.4459951,2.214435238,323,119,3277271,157094,39974,21345,21345,pooled_empirical,0.15405510283275126,0.0
COL,0014,2,epsilon_cover,epsilon_cover,5,5,0.009271525,0.011526046,1.61205105,1.327946593,89,89,1,1,0,21345,21345,exact,0.010563550178619208,0.010563550178619208
COL,0014,3,epsilon_cover,epsilon_cover,10,10,0.008569957,0.011356061,1.758421614,1.464490432,89,89,1,1,0,21345,21345,pooled_empirical,0.0,0.0
COL,0014,5,epsilon_cover,epsilon_cover,9,10,6.34862313,0.096967398,7.993675538,2.111374235,323,102,3043274,126097,30353,21345,21345,pooled_empirical,0.12920738327904457,0.0
COL,0015,2,epsilon_cover,epsilon_cover,7,7,0.009104008,0.01224185,2.14421384,2.40848982,89,89,1,1,0,21345,21345,exact,0.0672082165692951,0.0672082165692951
COL,0015,3,time_limit,epsilon_cover,10,10,30.00033288,0.490746427,32.33364274,2.834535804,995,158,9062131,429377,129036,21345,21345,pooled_empirical,0.0,0.0
COL,0015,5,time_limit,epsilon_cover,12,19,30.00788162,2.101060124,32.09036739,4.285362579,553,326,5572724,1213761,392883,21345,21345,pooled_empirical,0.19203518201807968,0.0
COL,0016,2,epsilon_cover,epsilon_cover,4,4,0.008916945,0.011599251,1.362791366,1.351010844,89,89,1,1,0,21345,21345,exact,0.03300036380110383,0.03300036380110383
COL,0016,3,epsilon_cover,epsilon_cover,8,8,0.011986593,0.011783663,1.714042887,1.41987477,89,89,1,1,0,21345,21345,pooled_empirical,0.0,0.0
COL,0016,5,epsilon_cover,epsilon_cover,10,10,0.009446954,0.012848075,2.203774273,1.607454316,89,89,461,219,18,21345,21345,pooled_empirical,0.0,0.0
COL,0017,2,epsilon_cover,epsilon_cover,7,7,0.009751791,0.014671438,2.766906103,2.537046187,89,89,1,1,0,21345,21345,exact,0.011540594363279366,0.011540594363279366
COL,0017,3,time_limit,epsilon_cover,11,11,30.00240561,1.40436566,32.56855761,3.509715524,995,326,10366285,1094841,394296,21345,21345,pooled_empirical,0.0,0.0
COL,0017,5,time_limit,epsilon_cover,12,44,30.00664526,14.04203275,32.33765713,16.40564997,558,1035,5749747,7574239,2853335,21345,31245,pooled_empirical,0.11020921796241079,0.0
COL,0018,2,epsilon_cover,epsilon_cover,5,5,0.009585238,0.012380851,2.345074339,2.090757821,89,92,1,1,0,21345,21345,exact,0.027525285528879007,0.027525285528879007
COL,0018,3,epsilon_cover,epsilon_cover,9,9,0.008201997,0.014369453,2.389140488,1.801207998,89,92,1,1,0,21345,21345,pooled_empirical,0.0,0.0
COL,0018,5,time_limit,epsilon_cover,11,31,30.01350989,2.044673196,32.3249069,4.18433708,323,328,3298330,1167024,440338,21345,21345,pooled_empirical,0.22241758241758247,0.0
COL,0019,2,epsilon_cover,epsilon_cover,3,3,0.008026488,0.012706878,1.99619711,2.298977909,89,93,1,1,0,21345,21345,exact,0.0028977457752916713,0.0028977457752916713
COL,0019,3,epsilon_cover,epsilon_cover,7,7,0.009635106,0.011911742,2.437196875,1.796789135,89,93,1,1,0,21345,21345,pooled_empirical,0.0,0.0
COL,0019,5,epsilon_cover,epsilon_cover,10,10,0.008695928,0.011219996,1.950080129,1.859926445,89,93,1,1,0,21345,21345,pooled_empirical,0.0,0.0
COL,0020,2,epsilon_cover,epsilon_cover,6,6,0.009322305,0.014133495,2.484784501,2.420994099,89,93,1,1,0,21345,21345,exact,0.04301618501367166,0.04301618501367166
COL,0020,3,epsilon_cover,epsilon_cover,11,11,11.80011898,0.149664094,13.99460187,2.184147186,547,126,7898715,220532,55627,21345,21345,pooled_empirical,0.0,0.0
COL,0020,5,time_limit,epsilon_cover,12,14,30.00542555,20.52884815,32.92367587,22.85926627,550,1048,4815946,7660088,2561326,21345,21345,pooled_empirical,0.17213667856450132,0.0
