dataset,query_id,objective_count,method,epsilon,status,certified,paths,reference_kind,reference_size,reference_configurations,empirical_epsilon,load_seconds,preprocess_seconds,search_seconds,total_seconds,peak_rss_mb,expanded,file
BAY,0014,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.64032392,0.695620665,0.094285336,1.432315739,75,144592,BAY_0014_m3_e0.2_5990b349252d78ed.json
BAY,0014,5,NAMOA_dr_goal_epsilon,0.2,time_limit,False,11,unavailable_single_config,11,1,,0.63288391,0.828036069,30.00203866,31.48115069,316,3640053,BAY_0014_m5_e0.2_a66889fff1a377f8.json
BAY,0015,2,NAMOA_dr_goal_epsilon,0.05,epsilon_cover,True,6,exact,83,5,0.01610853420385472,0.741433293,0.901868568,0.006064966,1.650564397,68,0,BAY_0015_m2_e0.05_dbd0376e8a88c8a7.json
BAY,0015,2,NAMOA_dr_goal_epsilon,0.0,exact,True,83,exact,83,5,0.0,0.61728647,0.76241861,0.155080559,1.537212948,94,233908,BAY_0015_m2_e0.0_d77052ffe3642904.json
BAY,0015,2,NAMOA_dr_goal_epsilon,0.1,epsilon_cover,True,6,exact,83,5,0.01610853420385472,0.757919972,1.026618751,0.006907946,1.793226373,68,0,BAY_0015_m2_e0.1_0c278c96a6ca05a3.json
BAY,0015,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,6,exact,83,5,0.01610853420385472,0.63399238,0.837101306,0.00604208,1.478577476,68,0,BAY_0015_m2_e0.2_37cb02e2a9cba1a2.json
BAY,0015,2,weighted_seeds,0.0,seed_only,False,6,exact,83,5,0.01610853420385472,0.740210005,0.903346656,0,1.643559408,68,0,BAY_0015_m2_seed_7b2bf7e98c637ccd.json
BAY,0015,3,NAMOA_dr_goal_epsilon,0.05,time_limit,False,11,pooled_empirical,11,4,0.0,0.605040966,0.856908574,30.00246425,31.50048894,977,7386429,BAY_0015_m3_e0.05_a0db0d9589314d34.json
BAY,0015,3,NAMOA_dr_goal_epsilon,0.1,time_limit,False,11,pooled_empirical,11,4,0.0,0.757060157,1.134148009,30.00086634,31.93138352,528,7156565,BAY_0015_m3_e0.1_25c6d466b4dd5bd1.json
BAY,0015,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,11,pooled_empirical,11,4,0.0,0.638466867,0.958089276,0.007022531,1.605212585,68,1345,BAY_0015_m3_e0.2_382e43a80ae88c77.json
